Country,Year-Month,Energy Price Index,Headline Consumer Price Index
Angola,2020-02,,426.033319726491
Angola,2020-03,,433.888597855938
Angola,2020-04,,442.822051414917
Angola,2020-05,,451.396113164052
Angola,2020-06,,459.251391293499
Angola,2020-07,,467.363377858549
Angola,2020-08,,475.937439607685
Angola,2020-09,,484.460159669699
Angola,2020-10,,493.239588167317
Angola,2020-11,,503.045850407346
Angola,2020-12,,513.416871205701
Angola,2021-01,,521.118124273786
Angola,2021-02,,531.899878569106
Angola,2021-03,,541.398090686411
Angola,2021-04,,552.693261852937
Angola,2021-05,,563.937091332342
Angola,2021-06,,575.48897093447
Angola,2021-07,,587.605609094925
Angola,2021-08,,600.081639065223
Angola,2021-09,,613.173769280968
Angola,2021-10,,625.752482625508
Angola,2021-11,,638.793271154133
Angola,2021-12,,652.193451492602
Angola,2022-01,,665.234240021226
Angola,2022-02,,676.991486371837
Angola,2022-03,,687.567873918674
Angola,2022-04,,695.26912698676
Angola,2022-05,,701.686837876831
Angola,2022-06,,707.591131895697
Angola,2022-07,,713.341400853201
Angola,2022-08,,718.783619687981
Angola,2022-09,,724.482546958364
Angola,2022-10,,
Angola,2022-11,,
Angola,2022-12,,
Angola,2023-01,,
Angola,2023-02,,
Angola,2023-03,,
Angola,2023-04,,
Angola,2023-05,,
Angola,2023-06,,
Angola,2023-07,,
Antigua and Barbuda,2020-01,,105.333
Antigua and Barbuda,2020-02,,105.859
Antigua and Barbuda,2020-03,,106.812
Antigua and Barbuda,2020-04,,106.705
Antigua and Barbuda,2020-05,,105.212
Antigua and Barbuda,2020-06,,103.002
Antigua and Barbuda,2020-07,,102.899
Antigua and Barbuda,2020-08,,102.693
Antigua and Barbuda,2020-09,,103.207
Antigua and Barbuda,2020-10,,104.548
Antigua and Barbuda,2020-11,,108.103
Antigua and Barbuda,2020-12,,110.481
Antigua and Barbuda,2021-01,,111.144
Antigua and Barbuda,2021-02,,112.256
Antigua and Barbuda,2021-03,,113.715
Antigua and Barbuda,2021-04,,113.26
Antigua and Barbuda,2021-05,,112.354
Antigua and Barbuda,2021-06,,111.792
Antigua and Barbuda,2021-07,,112.239
Antigua and Barbuda,2021-08,,112.127
Antigua and Barbuda,2021-09,,112.912
Antigua and Barbuda,2021-10,,114.832
Antigua and Barbuda,2021-11,,116.669
Antigua and Barbuda,2021-12,,118.536
Antigua and Barbuda,2022-01,,118.654
Antigua and Barbuda,2022-02,,120.79
Antigua and Barbuda,2022-03,,123.568
Antigua and Barbuda,2022-04,,123.692
Antigua and Barbuda,2022-05,,124.063
Antigua and Barbuda,2022-06,,122.326
Antigua and Barbuda,2022-07,,122.571
Antigua and Barbuda,2022-08,,123.306
Antigua and Barbuda,2022-09,,123.676
Antigua and Barbuda,2022-10,,125.036
Antigua and Barbuda,2022-11,,126.412
Antigua and Barbuda,2022-12,,128.181
Antigua and Barbuda,2023-01,,128.31
Antigua and Barbuda,2023-02,,127.411
Antigua and Barbuda,2023-03,,
Antigua and Barbuda,2023-04,,
Antigua and Barbuda,2023-05,,
Antigua and Barbuda,2023-06,,
Antigua and Barbuda,2023-07,,
Argentina,2020-01,318.0346,289.8299
Argentina,2020-02,319.9809,295.666
Argentina,2020-03,324.3739,305.5515
Argentina,2020-04,324.3903,310.1243
Argentina,2020-05,324.7404,314.9087
Argentina,2020-06,327.7297,321.9738
Argentina,2020-07,331.0918,328.2014
Argentina,2020-08,338.8038,337.0632
Argentina,2020-09,343.9618,346.6207
Argentina,2020-10,351.9646,359.657
Argentina,2020-11,360.8388,371.0211
Argentina,2020-12,371.5185,385.8826
Argentina,2021-01,375.7501,401.5071
Argentina,2021-02,383.4268,415.8595
Argentina,2021-03,388.4775,435.8657
Argentina,2021-04,401.9368,453.6503
Argentina,2021-05,410.1034,468.725
Argentina,2021-06,420.2876,483.6049
Argentina,2021-07,432.405,498.0987
Argentina,2021-08,437.3723,510.3942
Argentina,2021-09,445.7672,528.4968
Argentina,2021-10,456.979,547.0802
Argentina,2021-11,466.9551,560.9184
Argentina,2021-12,476.8025,582.4575
Argentina,2022-01,485.193,605.0317
Argentina,2022-02,498.9476,633.4341
Argentina,2022-03,537.1626,676.0566
Argentina,2022-04,561.7478,716.9399
Argentina,2022-05,581.7106,753.147
Argentina,2022-06,621.3286,793.0278
Argentina,2022-07,649.6896,851.761
Argentina,2022-08,685.6993,911.1316
Argentina,2022-09,706.9826,967.3076
Argentina,2022-10,759.7711,1028.706
Argentina,2022-11,825.5091,1079.2787
Argentina,2022-12,860.1091,1134.5875
Argentina,2023-01,929.1621,1202.979
Argentina,2023-02,973.7901,1282.7091
Argentina,2023-03,1037.2344,1381.1601
Argentina,2023-04,,
Argentina,2023-05,,
Argentina,2023-06,,
Argentina,2023-07,,
Armenia,2020-01,129.441869257868,131.476350376173
Armenia,2020-02,128.947766330069,131.209216126476
Armenia,2020-03,128.850933548826,131.923477414089
Armenia,2020-04,128.823992020219,133.100609256192
Armenia,2020-05,128.872605825985,132.907279253587
Armenia,2020-06,128.71675563934,131.038630995861
Armenia,2020-07,128.825915712674,128.29070032864
Armenia,2020-08,128.906738756777,128.099420994875
Armenia,2020-09,129.001220835462,127.865151953435
Armenia,2020-10,129.159971045006,128.456439186029
Armenia,2020-11,129.511481789164,130.081715196817
Armenia,2020-12,129.893754673847,134.441709276947
Armenia,2021-01,130.277904518197,137.41196807177
Armenia,2021-02,129.762590883054,138.198405043316
Armenia,2021-03,130.732116521383,139.549985941985
Armenia,2021-04,130.932681738906,141.295506411148
Armenia,2021-05,130.060878870226,140.749732247653
Armenia,2021-06,129.982802751884,139.562228130549
Armenia,2021-07,130.230264136726,138.839695118356
Armenia,2021-08,130.755075812171,139.349606715782
Armenia,2021-09,131.101796162858,139.230642840092
Armenia,2021-10,131.045129388437,140.151234653302
Armenia,2021-11,131.618598923928,142.51320353753
Armenia,2021-12,132.354713852283,144.760720107034
Armenia,2022-01,133.919964582619,147.136503915004
Armenia,2022-02,133.023472370266,147.241015520264
Armenia,2022-03,137.1403749821,149.823372585118
Armenia,2022-04,138.090111691852,153.200017442056
Armenia,2022-05,138.795279257559,153.397913869382
Armenia,2022-06,138.74220417655,153.901504171916
Armenia,2022-07,139.34948344067,151.781863229803
Armenia,2022-08,140.241666546875,152.070529912314
Armenia,2022-09,141.071881865801,153.035520379747
Armenia,2022-10,141.23062294936,153.433599019794
Armenia,2022-11,142.095380814308,155.118014859336
Armenia,2022-12,143.223418597642,156.779751966539
Armenia,2023-01,144.04829882265,158.982920244063
Armenia,2023-02,143.045765882897,159.094567114933
Armenia,2023-03,142.884582892969,157.988266730376
Armenia,2023-04,,
Armenia,2023-05,,
Armenia,2023-06,,
Armenia,2023-07,,
Aruba,2020-01,100.799,112.036007909826
Aruba,2020-02,101.095,112.230168207906
Aruba,2020-03,,
Aruba,2020-04,,
Aruba,2020-05,,
Aruba,2020-06,,
Aruba,2020-07,,
Aruba,2020-08,,
Aruba,2020-09,,
Aruba,2020-10,,
Aruba,2020-11,,
Aruba,2020-12,,
Aruba,2021-01,,
Aruba,2021-02,,
Aruba,2021-03,,
Aruba,2021-04,,
Aruba,2021-05,,
Aruba,2021-06,,
Aruba,2021-07,,
Aruba,2021-08,,
Aruba,2021-09,,
Aruba,2021-10,,
Aruba,2021-11,,
Aruba,2021-12,,
Aruba,2022-01,,
Aruba,2022-02,,
Aruba,2022-03,,
Aruba,2022-04,,
Aruba,2022-05,,
Aruba,2022-06,,
Aruba,2022-07,,
Aruba,2022-08,,
Aruba,2022-09,,
Aruba,2022-10,,
Aruba,2022-11,,
Aruba,2022-12,,
Aruba,2023-01,,
Aruba,2023-02,,
Aruba,2023-03,,
Aruba,2023-04,,
Aruba,2023-05,,
Aruba,2023-06,,
Aruba,2023-07,,
Austria,2020-01,105.8,107.6
Austria,2020-02,103.932,107.7
Austria,2020-03,100.294,108.0
Austria,2020-04,98.1305,108.0
Austria,2020-05,95.6723,107.4
Austria,2020-06,95.9673,107.9
Austria,2020-07,96.9505,108.1
Austria,2020-08,97.0489,107.9
Austria,2020-09,96.8522,108.3
Austria,2020-10,95.9673,108.6
Austria,2020-11,95.869,108.7
Austria,2020-12,97.4422,109.3
Austria,2021-01,100.392,108.5
Austria,2021-02,102.85,109.0
Austria,2021-03,105.407,110.2
Austria,2021-04,105.898,110.1
Austria,2021-05,106.98,110.4
Austria,2021-06,107.963,110.9
Austria,2021-07,110.323,111.3
Austria,2021-08,111.798,111.4
Austria,2021-09,112.683,111.9
Austria,2021-10,117.894,112.6
Austria,2021-11,121.139,113.3
Austria,2021-12,121.139,114.0
Austria,2022-01,123.302,113.9
Austria,2022-02,131.267,115.3
Austria,2022-03,146.704,117.6
Austria,2022-04,146.114,118.0
Austria,2022-05,146.212,118.9
Austria,2022-06,154.669,120.6
Austria,2022-07,162.436,121.8
Austria,2022-08,156.439,121.8
Austria,2022-09,174.432,123.8
Austria,2022-10,176.792,125.0
Austria,2022-11,172.171,125.3
Austria,2022-12,153.685,125.541
Austria,2023-01,168.041,126.622
Austria,2023-02,166.271,127.812
Austria,2023-03,160.175,128.46
Austria,2023-04,,
Austria,2023-05,,
Austria,2023-06,,
Austria,2023-07,,
Azerbaijan,2020-01,147.12421416021,159.6235632
Azerbaijan,2020-02,147.128667616836,160.7508477
Azerbaijan,2020-03,147.128667616836,162.3224464
Azerbaijan,2020-04,142.10594545407,162.4612342
Azerbaijan,2020-05,142.106293611955,161.622658
Azerbaijan,2020-06,147.650598649386,161.0894805
Azerbaijan,2020-07,147.650598649386,160.6452668
Azerbaijan,2020-08,147.646509610056,160.3557813
Azerbaijan,2020-09,147.671136609483,160.5285573
Azerbaijan,2020-10,147.671163782242,160.7970879
Azerbaijan,2020-11,153.589924294144,161.591152
Azerbaijan,2020-12,153.590028118416,162.8695956
Azerbaijan,2021-01,150.134719537821,164.8240252
Azerbaijan,2021-02,161.544074092209,167.512544
Azerbaijan,2021-03,161.630849910269,168.9469633
Azerbaijan,2021-04,161.689062070864,169.4750592
Azerbaijan,2021-05,161.937887299936,169.5542376
Azerbaijan,2021-06,162.108154940401,168.7197786
Azerbaijan,2021-07,175.774403810447,170.266492
Azerbaijan,2021-08,176.034031225047,171.0595429
Azerbaijan,2021-09,179.228178217818,174.1653677
Azerbaijan,2021-10,180.020805858796,176.9069079
Azerbaijan,2021-11,189.31095452194,179.5199116
Azerbaijan,2021-12,189.434503599474,182.3673631
Azerbaijan,2022-01,190.340267252266,185.3690644
Azerbaijan,2022-02,190.664090475414,187.404205
Azerbaijan,2022-03,190.724663310906,189.4737297
Azerbaijan,2022-04,191.006614234498,191.4435952
Azerbaijan,2022-05,191.486785751031,192.8544583
Azerbaijan,2022-06,191.982763923123,192.6489275
Azerbaijan,2022-07,192.573551906262,193.5682303
Azerbaijan,2022-08,193.194906846526,195.2929985
Azerbaijan,2022-09,198.251831843768,201.3712931
Azerbaijan,2022-10,198.969444383262,204.495264
Azerbaijan,2022-11,199.400792646315,206.6163474
Azerbaijan,2022-12,199.663834611168,208.5962601
Azerbaijan,2023-01,,
Azerbaijan,2023-02,,
Azerbaijan,2023-03,,
Azerbaijan,2023-04,,
Azerbaijan,2023-05,,
Azerbaijan,2023-06,,
Azerbaijan,2023-07,,
Bahamas,2020-01,103.26,116.975503913727
Bahamas,2020-02,103.3,116.341577696137
Bahamas,2020-03,103.98,116.459767329925
Bahamas,2020-04,104.11,115.353082577182
Bahamas,2020-05,103.15,116.244877086674
Bahamas,2020-06,101.31,115.696906966383
Bahamas,2020-07,101.31,115.621695381246
Bahamas,2020-08,101.51,116.180410013698
Bahamas,2020-09,101.51,116.040731355585
Bahamas,2020-10,102.78,116.739124646151
Bahamas,2020-11,102.78,116.663913061013
Bahamas,2020-12,105.8,116.846569767777
Bahamas,2021-01,105.84,117.878042935382
Bahamas,2021-02,106.08,117.99623256917
Bahamas,2021-03,105.72,118.082188666471
Bahamas,2021-04,105.97,118.468991104322
Bahamas,2021-05,105.97,119.016961224613
Bahamas,2021-06,105.97,118.855793542174
Bahamas,2021-07,105.96,119.597164881391
Bahamas,2021-08,105.95,120.585660000346
Bahamas,2021-09,105.95,120.822039267922
Bahamas,2021-10,105.95,121.133630120636
Bahamas,2021-11,105.95,121.584899631463
Bahamas,2021-12,105.95,121.670855728764
Bahamas,2022-01,105.72,122.41222706798
Bahamas,2022-02,105.94,122.476694140955
Bahamas,2022-03,109.1,123.658590478836
Bahamas,2022-04,109.72,124.571874012653
Bahamas,2022-05,109.72,125.571113643771
Bahamas,2022-06,109.72,126.258762422174
Bahamas,2022-07,110.23,128.128307538459
Bahamas,2022-08,110.23,128.214263635759
Bahamas,2022-09,110.22,128.654788634424
Bahamas,2022-10,110.22,129.009357535788
Bahamas,2022-11,110.64,128.880423389837
Bahamas,2022-12,111.78,128.332453269547
Bahamas,2023-01,,
Bahamas,2023-02,,
Bahamas,2023-03,,
Bahamas,2023-04,,
Bahamas,2023-05,,
Bahamas,2023-06,,
Bahamas,2023-07,,
Bahrain,2020-01,93.16431506849315,118.179204656161
Bahrain,2020-02,93.70801369863014,118.416989776194
Bahrain,2020-03,93.55801369863013,117.109171616015
Bahrain,2020-04,90.51849315068495,114.612427855673
Bahrain,2020-05,96.60465753424657,115.325783215771
Bahrain,2020-06,86.73171232876713,114.612427855673
Bahrain,2020-07,90.98808219178082,115.087998095738
Bahrain,2020-08,91.45232876712329,115.444675775787
Bahrain,2020-09,106.9632191780822,116.990279055999
Bahrain,2020-10,94.95205479452054,115.206890655755
Bahrain,2020-11,93.73472602739726,114.969105535722
Bahrain,2020-12,92.77452054794522,116.276923695901
Bahrain,2021-01,92.76917808219179,114.969105535722
Bahrain,2021-02,92.79150684931506,114.850212975706
Bahrain,2021-03,92.67856164383562,114.73132041569
Bahrain,2021-04,92.66561643835617,114.374642735641
Bahrain,2021-05,93.56643835616438,114.969105535722
Bahrain,2021-06,94.40075342465752,115.325783215771
Bahrain,2021-07,94.67438356164384,115.444675775787
Bahrain,2021-08,95.03506849315067,115.563568335803
Bahrain,2021-09,94.83150684931508,115.920246015852
Bahrain,2021-10,94.11013698630137,116.039138575868
Bahrain,2021-11,93.21287671232878,115.801353455836
Bahrain,2021-12,92.39150684931508,115.801353455836
Bahrain,2022-01,93.11205479452056,118.416989776194
Bahrain,2022-02,92.79376712328767,118.53588233621
Bahrain,2022-03,93.06383561643835,119.249237696307
Bahrain,2022-04,92.46431506849315,118.416989776194
Bahrain,2022-05,93.2504109589041,119.011452576275
Bahrain,2022-06,94.12178082191781,118.892560016259
Bahrain,2022-07,94.73780821917808,119.962593056405
Bahrain,2022-08,95.22438356164383,120.200378176438
Bahrain,2022-09,95.32438356164384,120.557055856486
Bahrain,2022-10,94.73424657534247,120.43816329647
Bahrain,2022-11,93.91109589041096,120.319270736454
Bahrain,2022-12,93.01561643835616,119.962593056405
Bahrain,2023-01,92.0049315068493,119.368130256324
Bahrain,2023-02,91.62506849315068,
Bahrain,2023-03,92.24739726027397,
Bahrain,2023-04,,
Bahrain,2023-05,,
Bahrain,2023-06,,
Bahrain,2023-07,,
Bangladesh,2020-01,224.99,186.6240483431
Bangladesh,2020-02,225.06,186.265883708027
Bangladesh,2020-03,225.93,187.076822504419
Bangladesh,2020-04,226.04,188.131042939729
Bangladesh,2020-05,226.3,184.84674081434
Bangladesh,2020-06,227.07,186.597017049887
Bangladesh,2020-07,227.57,188.04994906009
Bangladesh,2020-08,227.6,190.644953208546
Bangladesh,2020-09,227.99,194.706405013811
Bangladesh,2020-10,228.09,196.591837715423
Bangladesh,2020-11,228.62,195.105116588704
Bangladesh,2020-12,228.84,194.226599559279
Bangladesh,2021-01,229.98,195.997149264735
Bangladesh,2021-02,229.35,196.179610493924
Bangladesh,2021-03,229.5,197.301409162266
Bangladesh,2021-04,229.44,198.598911236494
Bangladesh,2021-05,225.9,194.571248547745
Bangladesh,2021-06,226.63,197.125705756381
Bangladesh,2021-07,227.12,198.132621428569
Bangladesh,2021-08,228.06,201.200673208253
Bangladesh,2021-09,230.62,205.586500532075
Bangladesh,2021-10,231.64,207.796308752244
Bangladesh,2021-11,232.46,206.769119610147
Bangladesh,2021-12,232.71,205.985212106968
Bangladesh,2022-01,233.53,207.478691056991
Bangladesh,2022-02,233.65,208.28287203008
Bangladesh,2022-03,234.17,209.573616281004
Bangladesh,2022-04,234.65,211.100884347543
Bangladesh,2022-05,235.01,209.00595912353
Bangladesh,2022-06,235.48,212.033463963395
Bangladesh,2022-07,235.87,212.959285755943
Bangladesh,2022-08,247.15,220.345586626417
Bangladesh,2022-09,248.08,224.27863978892
Bangladesh,2022-10,248.79,226.312744603204
Bangladesh,2022-11,249.07,225.082820762009
Bangladesh,2022-12,249.09,223.920475153846
Bangladesh,2023-01,250.94,225.265281991197
Bangladesh,2023-02,,
Bangladesh,2023-03,,
Bangladesh,2023-04,,
Bangladesh,2023-05,,
Bangladesh,2023-06,,
Bangladesh,2023-07,,
Barbados,2020-01,164.28136190792,138.579923050018
Barbados,2020-02,163.959100695955,136.481287163344
Barbados,2020-03,164.255797813162,136.691150752011
Barbados,2020-04,,
Barbados,2020-05,153.012136470463,136.411332633788
Barbados,2020-06,155.098461187153,135.921650926898
Barbados,2020-07,153.963237476171,135.991605456453
Barbados,2020-08,160.717215640369,138.649877579573
Barbados,2020-09,160.768367175723,138.090241343127
Barbados,2020-10,160.129066320461,139.629240993354
Barbados,2020-11,160.289608759255,141.308149702693
Barbados,2020-12,159.434737074689,141.378104232249
Barbados,2021-01,160.593078231632,140.958377054914
Barbados,2021-02,,
Barbados,2021-03,163.739178665683,138.230150402239
Barbados,2021-04,164.980508572583,137.460650577125
Barbados,2021-05,165.661029301349,138.509968520462
Barbados,2021-06,165.871440063053,139.839104582022
Barbados,2021-07,167.395624318003,141.02833158447
Barbados,2021-08,168.349610167923,143.057012941588
Barbados,2021-09,169.139138870438,145.785239594264
Barbados,2021-10,168.569544172307,145.785239594264
Barbados,2021-11,172.259232777974,147.813920951382
Barbados,2021-12,174.674357863598,148.51346624694
Barbados,2022-01,175.194306266871,
Barbados,2022-02,168.122419221718,
Barbados,2022-03,169.704367973463,
Barbados,2022-04,174.359244535433,
Barbados,2022-05,184.754485947127,
Barbados,2022-06,184.279369282624,
Barbados,2022-07,183.5,
Barbados,2022-08,180.3,
Barbados,2022-09,180.5,
Barbados,2022-10,179.4,
Barbados,2022-11,178.9,
Barbados,2022-12,,
Barbados,2023-01,,
Barbados,2023-02,,
Barbados,2023-03,,
Barbados,2023-04,,
Barbados,2023-05,,
Barbados,2023-06,,
Barbados,2023-07,,
Belarus,2020-01,83.0705599594427,521.082261281672
Belarus,2020-02,87.2925185235322,526.300316842792
Belarus,2020-03,87.6906599991241,530.795077573657
Belarus,2020-04,87.8150792102466,533.89491256046
Belarus,2020-05,87.9560876495187,533.068289897312
Belarus,2020-06,88.0639176324915,534.101568226247
Belarus,2020-07,88.6860136881039,535.134846555181
Belarus,2020-08,88.8602005836754,536.064797051222
Belarus,2020-09,89.2417528311177,541.127860863002
Belarus,2020-10,89.2583420592673,544.331023682699
Belarus,2020-11,89.7477242896824,547.947497833969
Belarus,2020-12,89.8472596585804,554.663806972044
Belarus,2021-01,90.0718778077269,560.986974371525
Belarus,2021-02,96.1904761904762,571.858384988177
Belarus,2021-03,96.4240790655885,575.796498017679
Belarus,2021-04,96.6666666666667,580.067409331363
Belarus,2021-05,96.8014375561545,583.284459411801
Belarus,2021-06,97.088948787062,587.056173299211
Belarus,2021-07,97.277628032345,587.444437964091
Belarus,2021-08,97.5202156334232,588.498299197338
Belarus,2021-09,98.2120395327943,596.319058875644
Belarus,2021-10,99.6675651392633,601.643831422576
Belarus,2021-11,99.874213836478,604.694482360922
Belarus,2021-12,100.0,609.963788527156
Belarus,2022-01,100.32,619.296234491622
Belarus,2022-02,108.12,628.994658729204
Belarus,2022-03,109.9,667.056399133298
Belarus,2022-04,110.22,677.547776295965
Belarus,2022-05,110.39,682.427486604182
Belarus,2022-06,110.67,690.113030339625
Belarus,2022-07,110.97,693.589823934229
Belarus,2022-08,111.01,693.955802207346
Belarus,2022-09,111.25,699.994443713765
Belarus,2022-10,110.66,692.979860145702
Belarus,2022-11,100.154573558829,685.355312789113
Belarus,2022-12,100.0,688.222142595191
Belarus,2023-01,100.22,693.452630878914
Belarus,2023-02,105.35,702.193052089873
Belarus,2023-03,105.41,706.047096088406
Belarus,2023-04,,
Belarus,2023-05,,
Belarus,2023-06,,
Belarus,2023-07,,
Belgium,2020-01,117.287,108.7
Belgium,2020-02,117.061,108.7
Belgium,2020-03,116.665,108.6
Belgium,2020-04,116.359,108.6
Belgium,2020-05,116.042,108.5
Belgium,2020-06,105.264,108.5
Belgium,2020-07,105.966,108.8
Belgium,2020-08,105.944,108.8
Belgium,2020-09,105.083,108.4
Belgium,2020-10,106.238,108.7
Belgium,2020-11,105.536,108.5
Belgium,2020-12,105.898,108.5
Belgium,2021-01,107.336,109.0
Belgium,2021-02,109.363,109.2
Belgium,2021-03,112.227,109.5
Belgium,2021-04,112.397,109.9
Belgium,2021-05,113.642,110.1
Belgium,2021-06,116.631,110.3
Belgium,2021-07,121.499,111.2
Belgium,2021-08,124.114,111.8
Belgium,2021-09,125.439,111.5
Belgium,2021-10,139.024,113.2
Belgium,2021-11,154.5,114.6
Belgium,2021-12,150.357,114.7
Belgium,2022-01,172.659,117.3
Belgium,2022-02,176.067,118.0
Belgium,2022-03,176.441,118.6
Belgium,2022-04,173.214,119.0
Belgium,2022-05,178.195,119.9
Belgium,2022-06,181.931,120.9
Belgium,2022-07,181.173,121.9
Belgium,2022-08,185.939,122.9
Belgium,2022-09,201.381,124.1
Belgium,2022-10,226.65,127.1
Belgium,2022-11,210.234,126.8
Belgium,2022-12,199.796,126.578
Belgium,2023-01,181.66,126.697
Belgium,2023-02,162.108,125.814
Belgium,2023-03,158.61,126.528
Belgium,2023-04,,
Belgium,2023-05,,
Belgium,2023-06,,
Belgium,2023-07,,
Belize,2020-01,99.566490098804,100.2
Belize,2020-02,100.781849206952,100.7
Belize,2020-03,100.776041721181,100.5
Belize,2020-04,100.788562447706,100.5
Belize,2020-05,100.150721709506,100.3
Belize,2020-06,100.224140553102,100.5
Belize,2020-07,100.385168779854,100.5
Belize,2020-08,100.48041087547,100.6
Belize,2020-09,100.454219955278,100.7
Belize,2020-10,100.0,100.0
Belize,2020-11,100.247778182529,100.4
Belize,2020-12,100.589855356908,100.7
Belize,2021-01,101.155255351697,101.3
Belize,2021-02,101.555080618039,102.0
Belize,2021-03,101.789735792627,102.0
Belize,2021-04,102.187990282926,103.0
Belize,2021-05,101.205676987564,103.1
Belize,2021-06,101.000956994611,103.5
Belize,2021-07,101.295817969704,103.9
Belize,2021-08,102.148966093387,104.5
Belize,2021-09,102.173836048871,104.6
Belize,2021-10,103.488995674541,105.2
Belize,2021-11,103.98495293889,106.1
Belize,2021-12,103.619696225581,105.7
Belize,2022-01,103.077619690453,105.4
Belize,2022-02,103.602178869399,106.6
Belize,2022-03,105.164894077442,107.8
Belize,2022-04,105.132828858565,108.9
Belize,2022-05,104.791044554255,109.9
